model;year;auc_roc;auc_pr;brier;recall@5;precision@5;recall@10;precision@10;recall@20;precision@20
logit;2023;0.676866237211065;0.167086116028678;0.0764679094142372;0.128571428571429;0.214285714285714;0.271428571428571;0.228915662650602;0.4;0.16969696969697
gam;2023;0.54559492231906;0.117728693912771;0.113501655918116;0.0428571428571429;0.0714285714285714;0.157142857142857;0.132530120481928;0.314285714285714;0.133333333333333
lgb;2023;0.617553997726412;0.116404683931194;0.0771583272039949;0.0285714285714286;0.0476190476190476;0.1;0.0843373493975904;0.357142857142857;0.151515151515152
